Lake Long,Lake Short Name,Lake Name Folder,Reservoir or lake?,latitude (dec deg),longitude (dec deg),elevation (m),mean depth (m),max depth (m),lake area (km²)
Allequash Lake,Allequash,Allequash_Lake,lake,46.04,-89.62,497,2.9,8,1.64
Alqueva Reservoir,Alqueva,Alqueva,reservoir,38.2,-7.49,152,16.6,92,250
Lake Annecy,Annecy,Annecy,lake,45.87,6.17,447,41,65,27
Lake Annie,Annie,Annie,lake,27.21,-81.35,33.7,30,68,0.36
Lake Argyle,Argyle,Argyle,reservoir,-16.31,128.68,100,10.1,51,980
Lake Biel,Biel,Biel,lake,47.08,7.16,429,30,74,39.3
Big Muskellunge Lake,BigMuskellunge,Big_Muskellunge_Lake,lake,46.02,-89.61,494,7.5,21.3,3.63
Black Oak Lake,BlackOak,Black_Oak_Lake,lake,46.16,-89.32,521.51,10.36,25.91,2.28
Lake Bourget,Bourget,Bourget,lake,45.76,5.86,231,80,145,44
Lake Burley Griffin,BurleyGriffin,Burley_Griffin,reservoir,-35.3,149.07,556,5,17,6.64
Crystal Lake,Crystal,Crystal_Lake,lake,46,-89.61,494,10.4,20.4,0.38
Crystal Bog,Crystal Bog,Crystal_Bog,lake,46.01,-89.61,497,1.7,2.5,0.01
Delavan Lake,Delavan,Delavan,lake,42.61,-88.6,282.55,7.61,16.46,6.96
Dickie Lake,Dickie,Dickie_Lake,lake,45.15,-79.09,341,5,12,0.94
Eagle Lake,Eagle,Eagle_Lake,lake,44.68,-76.7,205,10.1,31.1,6.65
Ekoln basin of Mälaren,Ekoln,Ekoln_basin_of_Malaren,lake,59.75,17.62,0.7,11.5,50,20.18
Lake Erken,Erken,Erken,lake,59.84,18.63,10,9,21,24
Esthwaite Water,EsthwaiteWater,Esthwaite_Water,lake,54.37,-2.99,65,6.9,16,0.96
Falling Creek Reservoir,FallingCreek,Falling_Creek_Reservoir,reservoir,37.31,-79.84,507,4,9.3,119
Lake Feeagh,Feeagh,Feeagh,lake,53.9,-9.5,15,14.5,44,3.9
Fish Lake,Fish,Fish_Lake,lake,43.29,-89.65,260,6.6,18.9,0.8
Lake Geneva,Geneva,Geneva,lake,46.45,6.59,372,152.7,309.7,580.1
Great Pond,GreatPond,Great_Pond,lake,44.53,-69.89,81,9,21,34.53
Green Lake,Green,Green_Lake,lake,43.81,-89,243,33.55,72,29.48
Harp Lake,Harp,Harp_Lake,lake,45.38,-79.13,327,13.32,37.5,0.71
